,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
1,662,592,619,495,504,486,474,453,396,406
2,622,484,599,531,488,485,501,447,402,410
3,602,603,542,485,473,444,416,438,438,364
4,530,557,528,525,456,482,468,359,401,359
5,563,501,542,486,458,436,438,390,353,344
6,571,580,551,500,485,451,459,389,369,365
7,583,568,624,482,476,491,461,427,390,342
8,578,564,617,456,485,445,427,534,385,346
9,607,590,584,528,470,504,426,474,352,368
10,581,529,601,536,472,466,432,507,401,358
11,602,519,582,529,493,461,450,496,391,366
12,590,511,408,536,481,497,426,436,452,327
13,604,523,377,462,490,467,468,399,423,410
14,657,485,364,495,443,499,483,469,431,406
15,623,528,392,525,523,516,441,423,384,371
16,576,544,408,536,480,495,459,386,445,401
17,586,572,406,537,519,468,475,373,443,407
18,605,577,416,575,458,492,474,380,426,364
19,620,622,440,531,501,509,469,410,472,384
20,631,569,399,558,512,502,495,405,452,408
21,632,569,366,602,440,461,514,474,406,438
22,641,542,357,608,485,461,504,429,455,358
23,648,581,380,553,497,475,496,444,435,377
24,641,555,361,510,498,462,515,423,422,353
25,676,533,402,589,541,558,594,433,475,384
26,616,608,379,561,528,461,472,413,420,381
27,630,595,418,562,549,491,498,482,430,354
28,577,572,465,604,537,476,565,482,478,387
29,641,635,484,563,505,483,556,530,425,327
30,616,583,402,574,511,513,526,517,445,351
31,475,653,463,589,500,537,543,588,479,397
32,,609,459,599,441,497,574,511,503,370
33,,628,458,563,519,438,495,551,382,396
34,,656,528,620,494,476,473,487,465,371
35,,664,484,570,516,513,532,502,495,423
36,,618,521,541,507,499,540,481,503,418
37,,597,533,574,451,486,492,436,467,319
38,,687,479,580,427,597,494,485,425,334
39,,684,523,562,493,486,496,570,455,355
40,,643,544,580,625,495,457,532,455,381
41,,601,544,628,476,477,499,527,423,415
42,,649,568,623,464,489,496,496,464,369
43,,619,574,470,470,535,436,517,480,384
44,,593,496,527,436,447,455,514,395,351
45,,613,554,545,456,489,495,484,418,339
46,,602,525,544,478,470,434,421,441,351
47,,624,563,522,487,482,501,425,479,372
48,,608,610,543,419,412,483,495,416,389
49,,593,634,590,466,458,422,421,447,380
50,,603,557,608,482,501,456,440,443,326
51,,572,523,567,454,459,442,403,336,429
52,,635,571,564,468,469,588,431,358,370
53,,,604,,,,,,379,